"","kegg_id","gene_name","gene_path"
"LB10_fxndf.K00011","K00011","aldehyde reductase [EC:1.1.1.21]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis"
"LB10_fxndf.K00012","K00012","UDPglucose 6-dehydrogenase [EC:1.1.1.22]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism"
"LB10_fxndf.K00013","K00013","histidinol dehydrogenase [EC:1.1.1.23]","Metabolism; Amino acid metabolism; Histidine metabolism"
"LB10_fxndf.K00014","K00014","shikimate dehydrogenase [EC:1.1.1.25]","Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
"LB10_fxndf.K00015","K00015","glyoxylate reductase [EC:1.1.1.26]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism"
"LB10_fxndf.K00016","K00016","L-lactate dehydrogenase [EC:1.1.1.27]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Organismal Systems; Endocrine system; Glucagon signaling pathway | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K00018","K00018","glycerate dehydrogenase [EC:1.1.1.29]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"LB10_fxndf.K00019","K00019","3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Synthesis and degradation of ketone bodies"
"LB10_fxndf.K00020","K00020","3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
"LB10_fxndf.K00023","K00023","acetoacetyl-CoA reductase [EC:1.1.1.36]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"LB10_fxndf.K00024","K00024","malate dehydrogenase [EC:1.1.1.37]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism"
"LB10_fxndf.K00025","K00025","malate dehydrogenase [EC:1.1.1.37]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Organismal Systems; Excretory system; Proximal tubule bicarbonate reclamation"
"LB10_fxndf.K00027","K00027","malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Environmental Information Processing; Signal transduction; Two-component system"
"LB10_fxndf.K00029","K00029","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms"
"LB10_fxndf.K00031","K00031","isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Metabolism of other amino acids; Glutathione metabolism | Cellular Processes; Transport and catabolism; Peroxisome"
"LB10_fxndf.K00033","K00033","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Metabolism of other amino acids; Glutathione metabolism"
"LB10_fxndf.K00034","K00034","glucose 1-dehydrogenase [EC:1.1.1.47]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"LB10_fxndf.K00035","K00035","D-galactose 1-dehydrogenase [EC:1.1.1.48]","Metabolism; Carbohydrate metabolism; Galactose metabolism"
"LB10_fxndf.K00036","K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Metabolism of other amino acids; Glutathione metabolism | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K00038","K00038","3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]","Metabolism; Lipid metabolism; Steroid hormone biosynthesis"
"LB10_fxndf.K00039","K00039","ribitol 2-dehydrogenase [EC:1.1.1.56]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"LB10_fxndf.K00040","K00040","fructuronate reductase [EC:1.1.1.57]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"LB10_fxndf.K00041","K00041","tagaturonate reductase [EC:1.1.1.58]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"LB10_fxndf.K00042","K00042","2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism"
"LB10_fxndf.K00043","K00043","4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]","Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"LB10_fxndf.K00044","K00044","17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]","Metabolism; Lipid metabolism; Steroid hormone biosynthesis | Organismal Systems; Endocrine system; Ovarian steroidogenesis"
"LB10_fxndf.K00045","K00045","mannitol 2-dehydrogenase [EC:1.1.1.67]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"LB10_fxndf.K00046","K00046","gluconate 5-dehydrogenase [EC:1.1.1.69]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"LB10_fxndf.K00050","K00050","hydroxypyruvate reductase [EC:1.1.1.81]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"LB10_fxndf.K00052","K00052","3-isopropylmalate dehydrogenase [EC:1.1.1.85]","Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis"
"LB10_fxndf.K00053","K00053","ketol-acid reductoisomerase [EC:1.1.1.86]","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis"
"LB10_fxndf.K00054","K00054","hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis"
"LB10_fxndf.K00055","K00055","aryl-alcohol dehydrogenase [EC:1.1.1.90]","Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation"
"LB10_fxndf.K00057","K00057","glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"LB10_fxndf.K00058","K00058","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]","Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K00059","K00059","3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","Metabolism; Lipid metabolism; Fatty acid biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism | Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins"
"LB10_fxndf.K00060","K00060","threonine 3-dehydrogenase [EC:1.1.1.103]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"LB10_fxndf.K00061","K00061","11-cis-retinol dehydrogenase [EC:1.1.1.315]","Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism"
"LB10_fxndf.K00064","K00064","D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism"
"LB10_fxndf.K00065","K00065","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"LB10_fxndf.K00066","K00066","GDP-mannose 6-dehydrogenase [EC:1.1.1.132]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Environmental Information Processing; Signal transduction; Two-component system"
"LB10_fxndf.K00067","K00067","dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]","Metabolism; Metabolism of terpenoids and polyketides; Polyketide sugar unit biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis"
"LB10_fxndf.K00068","K00068","sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"LB10_fxndf.K00073","K00073","ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]","Metabolism; Nucleotide metabolism; Purine metabolism"
"LB10_fxndf.K00074","K00074","3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation"
"LB10_fxndf.K00075","K00075","UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]","Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins"
"LB10_fxndf.K00076","K00076","7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]","Metabolism; Lipid metabolism; Secondary bile acid biosynthesis"
"LB10_fxndf.K00077","K00077","2-dehydropantoate 2-reductase [EC:1.1.1.169]","Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis"
"LB10_fxndf.K00078","K00078","dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450"
"LB10_fxndf.K00079","K00079","carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]","Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis"
"LB10_fxndf.K00084","K00084","carbonyl reductase 3 [EC:1.1.1.184]","Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450"
"LB10_fxndf.K00086","K00086","1,3-propanediol dehydrogenase [EC:1.1.1.202]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism"
"LB10_fxndf.K00087","K00087","xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]","Metabolism; Nucleotide metabolism; Purine metabolism"
"LB10_fxndf.K00088","K00088","IMP dehydrogenase [EC:1.1.1.205]","Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K00090","K00090","glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"LB10_fxndf.K00091","K00091","dihydroflavonol-4-reductase [EC:1.1.1.219]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"LB10_fxndf.K00096","K00096","glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"LB10_fxndf.K00097","K00097","4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]","Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism"
"LB10_fxndf.K00098","K00098","L-idonate 5-dehydrogenase [EC:1.1.1.264]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"LB10_fxndf.K00099","K00099","1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis"
"LB10_fxndf.K00101","K00101","L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"LB10_fxndf.K00102","K00102","D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"LB10_fxndf.K00103","K00103","L-gulonolactone oxidase [EC:1.1.3.8]","Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism"
"LB10_fxndf.K00104","K00104","glycolate oxidase [EC:1.1.3.15]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism"
"LB10_fxndf.K00106","K00106","xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]","Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Biosynthesis of other secondary metabolites; Caffeine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Cellular Processes; Transport and catabolism; Peroxisome | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K00108","K00108","choline dehydrogenase [EC:1.1.99.1]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"LB10_fxndf.K00109","K00109","2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]","Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"LB10_fxndf.K00111","K00111","glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"LB10_fxndf.K00112","K00112","glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"LB10_fxndf.K00113","K00113","glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"LB10_fxndf.K00114","K00114","alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation"
"LB10_fxndf.K00116","K00116","malate dehydrogenase (quinone) [EC:1.1.5.4]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"LB10_fxndf.K00117","K00117","quinoprotein glucose dehydrogenase [EC:1.1.5.2]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"LB10_fxndf.K00118","K00118","glucose-fructose oxidoreductase [EC:1.1.99.28]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"LB10_fxndf.K00121","K00121","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis"
"LB10_fxndf.K00122","K00122","formate dehydrogenase [EC:1.17.1.9]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"LB10_fxndf.K00123","K00123","formate dehydrogenase major subunit [EC:1.17.1.9]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"LB10_fxndf.K00124","K00124","formate dehydrogenase iron-sulfur subunit","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"LB10_fxndf.K00126","K00126","formate dehydrogenase subunit delta [EC:1.17.1.9]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"LB10_fxndf.K00127","K00127","formate dehydrogenase subunit gamma","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"LB10_fxndf.K00128","K00128","aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Amino acid metabolism; Histidine metabolism | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Metabolism of terpenoids and polyketides; Insect hormone biosynthesis | Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation"
"LB10_fxndf.K00129","K00129","aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Amino acid metabolism; Histidine metabolism | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis"
"LB10_fxndf.K00130","K00130","betaine-aldehyde dehydrogenase [EC:1.2.1.8]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"LB10_fxndf.K00131","K00131","glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"LB10_fxndf.K00132","K00132","acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"LB10_fxndf.K00133","K00133","aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
"LB10_fxndf.K00134","K00134","glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"LB10_fxndf.K00135","K00135","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism"
"LB10_fxndf.K00137","K00137","aminobutyraldehyde dehydrogenase [EC:1.2.1.19]","Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism"
"LB10_fxndf.K00138","K00138","aldehyde dehydrogenase [EC:1.2.1.-]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"LB10_fxndf.K00139","K00139","succinate-semialdehyde dehydrogenase [EC:1.2.1.24]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism"
"LB10_fxndf.K00140","K00140","malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism"
"LB10_fxndf.K00141","K00141","benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]","Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation"
"LB10_fxndf.K00142","K00142","acyl-CoA synthetase [EC:6.2.1.-]","Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins"
"LB10_fxndf.K00145","K00145","N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]","Metabolism; Amino acid metabolism; Arginine biosynthesis"
"LB10_fxndf.K00146","K00146","phenylacetaldehyde dehydrogenase [EC:1.2.1.39]","Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Styrene degradation"
"LB10_fxndf.K00147","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]","Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Biosynthesis of other secondary metabolites; Carbapenem biosynthesis"
"LB10_fxndf.K00151","K00151","5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]","Metabolism; Amino acid metabolism; Tyrosine metabolism"
"LB10_fxndf.K00154","K00154","coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"LB10_fxndf.K00156","K00156","pyruvate dehydrogenase (quinone) [EC:1.2.5.1]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
